utt_id,time_to_first_token,prompt_ntokens,inter_token_duration,time_to_last_token
rime-ivr-eval-111,12.0,23.0,7.0,2605.0
rime-ivr-eval-112,12.0,12.0,7.0,2168.0
rime-ivr-eval-113,14.0,10.0,7.0,1969.0
rime-ivr-eval-114,12.0,6.0,7.0,573.0
rime-ivr-eval-115,13.0,7.0,7.0,1167.0
rime-ivr-eval-116,11.0,9.0,7.0,868.0
rime-ivr-eval-117,13.0,26.0,7.0,3157.0
rime-ivr-eval-118,11.0,14.0,7.0,1562.0
rime-ivr-eval-119,11.0,12.0,7.0,1117.0
rime-ivr-eval-120,13.0,15.0,7.0,1820.0
rime-ivr-eval-121,12.0,16.0,7.0,1956.0
rime-ivr-eval-122,13.0,9.0,7.0,869.0
rime-ivr-eval-123,13.0,10.0,7.0,1816.0
rime-ivr-eval-124,12.0,10.0,7.0,1016.0
rime-ivr-eval-125,12.0,18.0,7.0,2317.0
rime-ivr-eval-126,11.0,15.0,7.0,1520.0
rime-ivr-eval-127,12.0,13.0,7.0,1869.0
rime-ivr-eval-128,13.0,12.0,7.0,1469.0
rime-ivr-eval-129,13.0,9.0,7.0,1173.0
rime-ivr-eval-130,12.0,16.0,7.0,2217.0
rime-ivr-eval-131,12.0,15.0,7.0,1571.0
rime-ivr-eval-132,12.0,13.0,7.0,1663.0
rime-ivr-eval-133,11.0,14.0,7.0,1615.0
rime-ivr-eval-134,12.0,15.0,7.0,1468.0
rime-ivr-eval-135,11.0,26.0,7.0,3412.0
rime-ivr-eval-136,14.0,34.0,7.0,3860.0
rime-ivr-eval-137,12.0,62.0,7.0,8598.0
rime-ivr-eval-138,13.0,23.0,7.0,2608.0
rime-ivr-eval-139,,,7.0,2518.0
rime-ivr-eval-140,13.0,22.0,7.0,2861.0
rime-ivr-eval-141,12.0,22.0,7.0,2813.0
rime-ivr-eval-142,13.0,22.0,7.0,2813.0
rime-ivr-eval-143,12.0,49.0,7.0,6414.0
rime-ivr-eval-144,12.0,47.0,7.0,6416.0
rime-ivr-eval-145,13.0,42.0,7.0,6721.0
rime-ivr-eval-146,12.0,46.0,7.0,5759.0
rime-ivr-eval-147,13.0,45.0,7.0,5702.0
rime-ivr-eval-148,13.0,34.0,7.0,5157.0
rime-ivr-eval-149,13.0,35.0,7.0,4761.0
rime-ivr-eval-150,13.0,31.0,7.0,4456.0
